"Ma","CO2"
0.9948,229.96
0.9964,228.67
0.9981,229.84
0.9996,228.78
1.0012,226.56
1.0027,217.39
1.0042,216.16
1.0055,211.51
1.0068,204.39
1.008,206.85
1.0094,210.64
1.0105,212.17
1.0117,215.38
1.013,219.09
1.0143,221.14
1.0155,226.45
1.0167,228.9
1.0179,230.68
1.019,234.27
1.0201,232.23
1.0213,230.81
1.0223,235.48
1.0233,236.33
1.0242,239.88
1.0253,244.21
1.0261,242.85
1.0273,238.04
1.0285,236.94
1.0297,233.92
1.0306,228.56
1.0317,223.56
1.0326,217.74
1.0334,213.62
1.0341,203.76
1.0349,201.45
1.0356,200.1
1.0364,202.18
1.0374,199.67
1.0384,199.16
1.04,197.61
1.0422,197.93
1.0442,196.69
1.0458,202.19
1.048,208.27
1.0496,214.29
1.0504,216.74
1.0516,220.82
1.0531,222.42
1.054,221.5
1.055,220.71
1.0566,231.9
1.0578,232.01
1.0588,238.91
1.0601,249.92
1.0615,258.08
1.0623,253.14
1.0635,271.82
1.0649,278.9
1.066,270.07
1.0671,281.59
1.0687,289.83
1.0701,277.56
1.0713,263.2
1.0729,259.02
1.0746,254.7
1.0758,249.16
1.0772,244.99
1.0784,239.53
1.08,236.12
1.0818,233.58
1.0837,235.03
1.0853,230.85
1.0877,227.77
1.0893,228.12
1.0905,225.09
1.092,224.4
1.0936,221.18
1.095,226.02
1.0966,223.82
1.0983,224.28
1.1,222.45
1.1016,224.87
1.1029,222.79
1.1044,228.6
1.1056,226.49
1.1071,232.16
1.1085,234.92
1.1097,232.41
1.1115,228.84
1.1131,227.55
1.1144,221.88
1.1162,216.78
1.1185,214.66
1.1201,210.15
1.1224,203.81
1.1246,200.76
1.1265,200.97
1.1282,195.81
1.1298,196.31
1.1309,203.07
1.1325,203.39
1.1341,206.81
1.1357,213.11
1.138,217.69
1.1402,217.69
1.142,222.93
1.1439,224.77
1.1455,227.8
1.1464,226.52
1.1476,226.52
1.1487,230.28
1.1497,228.27
